Loyalty Number,Total Flights,Total Distance,Total Points Earned,Total Points Redeemed,Active Months,Avg Flights per Active Month,Redemption Ratio,Avg Distance per Flight,Enrollment Year,Enrollment Month,Loyalty Tenure (Months),Last Flight Date,Months Since Last Flight,Churn,At Risk
107212,39,58002,58002.0,2586,10.0,3.9,0.04458466949415538,1487.2307692307693,2013,2,70,2018-12-01,0.0,0,0
107296,21,30104,30104.0,625,10.0,2.1,0.020761360616529365,1433.5238095238096,2017,7,17,2018-11-01,1.0,0,0
107385,22,27287,27287.0,1331,7.0,3.142857142857143,0.04877780628137941,1240.3181818181818,2017,11,13,2018-12-01,0.0,0,0
107420,18,24132,24132.0,680,7.0,2.5714285714285716,0.028178352395159954,1340.6666666666667,2017,12,12,2018-08-01,4.0,1,0
107461,18,21476,21476.0,551,6.0,3.0,0.025656546842987522,1193.111111111111,2015,2,46,2018-12-01,0.0,0,0
107466,24,36441,36441.0,491,11.0,2.1818181818181817,0.013473834417277243,1518.375,2017,1,23,2018-12-01,0.0,0,0
107487,18,33663,33663.0,379,7.0,2.5714285714285716,0.011258651932388676,1870.1666666666667,2017,4,20,2018-12-01,0.0,0,0
107519,61,95293,142939.5,501,7.0,8.714285714285714,0.003504979379387783,1562.1803278688524,2018,2,10,2018-10-01,2.0,1,0
107571,31,38467,38467.0,1175,9.0,3.4444444444444446,0.03054566251592274,1240.8709677419354,2017,3,21,2018-12-01,0.0,0,0
107649,45,74576,74576.0,1296,11.0,4.090909090909091,0.017378245011800044,1657.2444444444445,2012,5,79,2018-12-01,0.0,0,0
107719,30,36129,36129.0,1573,12.0,2.5,0.043538431730742615,1204.3,2012,7,77,2018-12-01,0.0,0,0
107730,37,64714,64714.0,1132,12.0,3.0833333333333335,0.017492350959606887,1749.027027027027,2017,12,12,2018-12-01,0.0,0,0
107835,5,7565,7565.0,424,2.0,2.5,0.05604758757435559,1513.0,2018,9,3,2018-12-01,0.0,0,0
107902,32,53948,53948.0,528,9.0,3.5555555555555554,0.009787202491287906,1685.875,2015,4,44,2018-12-01,0.0,0,0
107993,32,45033,45033.0,0,10.0,3.2,0.0,1407.28125,2016,6,30,2018-11-01,1.0,0,0
108264,68,103366,103366.0,2676,12.0,5.666666666666667,0.025888590058626627,1520.0882352941176,2013,1,71,2018-12-01,0.0,0,0
108346,10,17116,17116.0,0,5.0,2.0,0.0,1711.6,2017,12,12,2018-08-01,4.0,1,0
108367,14,19611,19611.0,0,6.0,2.3333333333333335,0.0,1400.7857142857142,2017,5,19,2018-01-01,11.0,1,1
108381,40,50725,50725.0,1618,10.0,4.0,0.03189748644652538,1268.125,2014,11,49,2018-12-01,0.0,0,0
108430,47,87628,87628.0,342,12.0,3.9166666666666665,0.0039028620988725065,1864.4255319148936,2013,7,65,2018-12-01,0.0,0,0
108440,35,42687,42687.0,864,10.0,3.5,0.02024035420619861,1219.6285714285714,2013,5,67,2018-11-01,1.0,0,0
108462,37,62792,62792.0,1945,10.0,3.7,0.030975283475601988,1697.081081081081,2016,6,30,2018-12-01,0.0,0,0
108481,0,0,0.0,0,,,0.0,0.0,2018,11,1,,,0,0
108528,51,78024,78024.0,595,10.0,5.1,0.00762585871014047,1529.8823529411766,2014,5,55,2018-11-01,1.0,0,0
108625,46,69314,69314.0,932,11.0,4.181818181818182,0.013446057073607064,1506.8260869565217,2016,4,32,2018-12-01,0.0,0,0
108666,26,40864,40864.0,2005,9.0,2.888888888888889,0.049065191855912293,1571.6923076923076,2015,10,38,2018-12-01,0.0,0,0
108857,10,7254,7254.0,986,4.0,2.5,0.13592500689274883,725.4,2017,8,16,2018-03-01,9.0,1,1
108896,9,11764,11764.0,0,4.0,2.25,0.0,1307.111111111111,2017,6,18,2017-12-01,12.0,1,1
108907,37,56340,56340.0,1570,10.0,3.7,0.027866524671636493,1522.7027027027027,2016,8,28,2018-12-01,0.0,0,0
109022,27,35598,35598.0,453,8.0,3.375,0.012725434013146806,1318.4444444444443,2013,3,69,2018-12-01,0.0,0,0
109023,35,64655,64655.0,1648,10.0,3.5,0.025489134637692368,1847.2857142857142,2015,7,41,2018-12-01,0.0,0,0
109029,2,3944,3944.0,0,1.0,2.0,0.0,1972.0,2018,10,2,2018-11-01,1.0,0,0
109203,41,62207,62207.0,429,10.0,4.1,0.006896329995016638,1517.2439024390244,2014,10,50,2018-12-01,0.0,0,0
109399,33,58851,58851.0,0,8.0,4.125,0.0,1783.3636363636363,2018,12,0,2018-09-01,3.0,0,0
109478,44,85316,85316.0,574,11.0,4.0,0.006727929110600591,1939.0,2014,7,53,2018-11-01,1.0,0,0
109495,44,75183,75183.0,454,12.0,3.6666666666666665,0.006038599151403908,1708.7045454545455,2014,1,59,2018-12-01,0.0,0,0
109517,34,45001,45001.0,986,10.0,3.4,0.021910624208350927,1323.5588235294117,2015,5,43,2018-09-01,3.0,0,0
109552,22,26865,26865.0,0,8.0,2.75,0.0,1221.1363636363637,2015,12,36,2018-11-01,1.0,0,0
109612,17,30477,30477.0,667,7.0,2.4285714285714284,0.021885356170226727,1792.764705882353,2017,9,15,2018-07-01,5.0,1,0
109660,42,69953,69953.0,1284,11.0,3.8181818181818183,0.018355181336039913,1665.547619047619,2016,2,34,2018-12-01,0.0,0,0
109767,44,66909,66909.0,1752,12.0,3.6666666666666665,0.026184818185894274,1520.659090909091,2016,5,31,2018-12-01,0.0,0,0
109840,27,44876,44876.0,529,10.0,2.7,0.011788038149567697,1662.0740740740741,2016,9,27,2018-12-01,0.0,0,0
109896,42,62398,62398.0,780,11.0,3.8181818181818183,0.012500400653867112,1485.6666666666667,2013,10,62,2018-11-01,1.0,0,0
109903,38,47019,47019.0,1115,12.0,3.1666666666666665,0.02371381781832876,1237.342105263158,2013,10,62,2018-12-01,0.0,0,0
109956,16,27586,27586.0,0,6.0,2.6666666666666665,0.0,1724.125,2017,5,19,2018-01-01,11.0,1,1
110001,32,47676,47676.0,1034,10.0,3.2,0.021688061078949578,1489.875,2018,12,0,2018-11-01,1.0,0,0
110030,12,12015,12015.0,0,4.0,3.0,0.0,1001.25,2016,8,28,2017-05-01,19.0,1,1
110065,97,140924,211386.0,0,9.0,10.777777777777779,0.0,1452.8247422680413,2018,3,9,2018-12-01,0.0,0,0
110073,0,0,0.0,0,,,0.0,0.0,2015,2,46,,,1,0
110099,36,59296,59296.0,1486,10.0,3.6,0.02506071235833783,1647.111111111111,2013,1,71,2018-11-01,1.0,0,0
110142,73,106897,160345.5,334,6.0,12.166666666666666,0.002083002017518421,1464.3424657534247,2018,2,10,2018-10-01,2.0,1,0
110170,7,11198,11198.0,523,4.0,1.75,0.04670476870869798,1599.7142857142858,2018,5,7,2018-12-01,0.0,0,0
110211,26,38248,38248.0,0,8.0,3.25,0.0,1471.076923076923,2017,4,20,2017-12-01,12.0,1,1
110262,45,76551,114826.5,808,7.0,6.428571428571429,0.007036703200045286,1701.1333333333334,2018,2,10,2018-12-01,0.0,0,0
110296,34,53546,53546.0,488,9.0,3.7777777777777777,0.009113659283606619,1574.8823529411766,2013,11,61,2018-11-01,1.0,0,0
110394,46,66002,66002.0,1113,12.0,3.8333333333333335,0.01686312535983758,1434.8260869565217,2013,10,62,2018-12-01,0.0,0,0
110422,14,12513,12513.0,0,6.0,2.3333333333333335,0.0,893.7857142857143,2018,1,11,2018-11-01,1.0,0,0
110476,47,66715,66715.0,1851,11.0,4.2727272727272725,0.027744884958405155,1419.468085106383,2014,3,57,2018-12-01,0.0,0,0
110603,0,0,0.0,0,,,0.0,0.0,2017,10,14,,,1,0
110678,37,56217,56217.0,748,11.0,3.3636363636363638,0.013305583720226978,1519.3783783783783,2016,6,30,2018-12-01,0.0,0,0
110691,30,49309,49309.0,503,10.0,3.0,0.010200977509176824,1643.6333333333334,2015,5,43,2018-12-01,0.0,0,0
110752,41,62023,62023.0,409,12.0,3.4166666666666665,0.0065943279106138045,1512.7560975609756,2012,8,76,2018-12-01,0.0,0,0
111022,28,44035,44035.0,1095,7.0,4.0,0.024866583399568525,1572.6785714285713,2013,2,70,2018-11-01,1.0,0,0
111034,49,80677,80677.0,1503,10.0,4.9,0.018629844937218785,1646.469387755102,2014,3,57,2018-10-01,2.0,0,0
111171,45,57660,57660.0,837,11.0,4.090909090909091,0.014516129032258065,1281.3333333333333,2015,2,46,2018-12-01,0.0,0,0
111176,37,59430,59430.0,1718,10.0,3.7,0.02890795894329463,1606.2162162162163,2014,6,54,2018-08-01,4.0,0,0
111255,48,65856,65856.0,0,11.0,4.363636363636363,0.0,1372.0,2013,3,69,2018-12-01,0.0,0,0
111286,32,49103,49103.0,332,12.0,2.6666666666666665,0.006761297680386127,1534.46875,2013,7,65,2018-11-01,1.0,0,0
111329,36,44314,44314.0,2311,11.0,3.272727272727273,0.052150561899174074,1230.9444444444443,2016,8,28,2018-12-01,0.0,0,0
111387,0,0,0.0,0,,,0.0,0.0,2013,10,62,,,1,0
111485,51,73149,73149.0,2388,12.0,4.25,0.03264569577164418,1434.2941176470588,2015,5,43,2018-12-01,0.0,0,0
111507,29,40465,40465.0,1689,9.0,3.2222222222222223,0.04173977511429631,1395.344827586207,2012,10,74,2018-12-01,0.0,0,0
111573,42,73431,73431.0,605,10.0,4.2,0.008239027113889229,1748.357142857143,2014,5,55,2018-11-01,1.0,0,0
111584,25,32533,32533.0,1262,10.0,2.5,0.03879138105923217,1301.32,2017,1,23,2018-12-01,0.0,0,0
111646,24,45971,45971.0,1100,8.0,3.0,0.02392812860281482,1915.4583333333333,2014,11,49,2017-11-01,13.0,1,1
111788,65,95902,95902.0,1356,12.0,5.416666666666667,0.01413943400554733,1475.4153846153847,2016,9,27,2018-08-01,4.0,0,0
111899,16,24779,24779.0,998,5.0,3.2,0.04027604019532669,1548.6875,2013,6,66,2017-11-01,13.0,1,1
111912,47,77676,77676.0,628,11.0,4.2727272727272725,0.008084865338070962,1652.6808510638298,2016,6,30,2018-12-01,0.0,0,0
