Loyalty Number,Total Flights,Total Distance,Total Points Earned,Total Points Redeemed,Active Months,Avg Flights per Active Month,Redemption Ratio,Avg Distance per Flight,Enrollment Year,Enrollment Month,Loyalty Tenure (Months),Last Flight Date,Months Since Last Flight,Churn,At Risk,Cluster,Customer Segment
100737,47,66830,66830.0,2357,10.0,4.7,0.0352685919497231,1421.914893617021,2017,4,20,2018-11-01,1.0,0,0,0,Loyal Frequent Travelers
100753,51,64171,64171.0,750,11.0,4.636363636363637,0.0116875224010846,1258.2549019607843,2015,10,38,2018-09-01,3.0,0,0,0,Loyal Frequent Travelers
100816,31,47653,47653.0,0,8.0,3.875,0.0,1537.1935483870968,2013,3,69,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
100853,39,47403,47403.0,579,11.0,3.5454545454545454,0.0122144168090627,1215.4615384615386,2016,1,35,2018-11-01,1.0,0,0,0,Loyal Frequent Travelers
100883,34,53659,53659.0,0,8.0,4.25,0.0,1578.2058823529412,2013,6,66,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
100890,27,39394,39394.0,1612,11.0,2.4545454545454546,0.0409199370462507,1459.037037037037,2014,8,52,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
101018,41,71919,71919.0,1186,11.0,3.727272727272727,0.0164907743433585,1754.121951219512,2014,4,56,2018-11-01,1.0,0,0,0,Loyal Frequent Travelers
101148,30,47570,47570.0,714,8.0,3.75,0.0150094597435358,1585.6666666666667,2012,11,73,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
101356,0,0,0.0,0,,,0.0,0.0,2012,11,73,,,0,0,2,Inactive Members
101363,31,50697,50697.0,1760,9.0,3.4444444444444446,0.0347160581493974,1635.3870967741937,2016,4,32,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
101487,56,72589,72589.0,2912,12.0,4.666666666666667,0.0401162710603534,1296.232142857143,2012,12,72,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
101515,29,50433,50433.0,2043,11.0,2.636363636363636,0.0405091904110403,1739.0689655172414,2014,1,59,2018-11-01,1.0,0,0,0,Loyal Frequent Travelers
101540,30,49094,49094.0,931,10.0,3.0,0.0189636208090601,1636.4666666666667,2017,5,19,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
101544,40,61432,61432.0,1722,11.0,3.636363636363636,0.0280309936189608,1535.8,2014,4,56,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
101547,17,32918,32918.0,576,7.0,2.4285714285714284,0.0174980253964396,1936.3529411764705,2017,10,14,2018-11-01,1.0,0,0,1,Growing Customers
101581,36,49542,49542.0,1104,9.0,4.0,0.022284122562674,1376.1666666666667,2012,10,74,2018-11-01,1.0,0,0,0,Loyal Frequent Travelers
101594,43,58229,58229.0,1319,11.0,3.909090909090909,0.0226519431898195,1354.1627906976744,2015,8,40,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
101644,2,2974,2974.0,0,1.0,2.0,0.0,1487.0,2018,11,1,2018-12-01,0.0,0,0,1,Growing Customers
101663,41,60109,60109.0,961,11.0,3.727272727272727,0.0159876224858174,1466.0731707317073,2016,9,27,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
101664,29,40987,40987.0,0,10.0,2.9,0.0,1413.344827586207,2013,7,65,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
101709,38,59596,59596.0,456,11.0,3.4545454545454546,0.0076515202362574,1568.3157894736842,2015,9,39,2018-08-01,4.0,1,0,0,Loyal Frequent Travelers
101768,1,1733,1733.0,0,1.0,1.0,0.0,1733.0,2018,9,3,2018-12-01,0.0,0,0,1,Growing Customers
101876,12,18264,18264.0,1187,5.0,2.4,0.0649912395970214,1522.0,2017,10,14,2018-06-01,6.0,1,1,1,Growing Customers
101895,27,47305,47305.0,0,10.0,2.7,0.0,1752.037037037037,2013,2,70,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
101902,77,131909,131909.0,1302,12.0,6.416666666666667,0.0098704409858311,1713.1038961038962,2017,1,23,2018-12-01,0.0,0,0,3,High-Engagement New Travelers
101945,39,63004,63004.0,1219,10.0,3.9,0.0193479779061646,1615.4871794871794,2013,11,61,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
102168,25,40495,40495.0,0,8.0,3.125,0.0,1619.8,2018,1,11,2018-12-01,0.0,0,0,1,Growing Customers
102184,45,69058,69058.0,0,10.0,4.5,0.0,1534.6222222222225,2016,4,32,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
102207,25,37889,37889.0,0,8.0,3.125,0.0,1515.56,2012,5,79,2018-09-01,3.0,0,0,0,Loyal Frequent Travelers
102299,48,59570,59570.0,0,10.0,4.8,0.0,1241.0416666666667,2015,7,41,2018-11-01,1.0,0,0,0,Loyal Frequent Travelers
102308,0,0,0.0,0,,,0.0,0.0,2018,11,1,,,0,0,2,Inactive Members
102311,51,83581,83581.0,1396,10.0,5.1,0.0167023605843433,1638.843137254902,2016,10,26,2018-10-01,2.0,0,0,0,Loyal Frequent Travelers
102376,73,79580,119370.0,556,6.0,12.166666666666666,0.0046577867135796,1090.13698630137,2018,3,9,2018-12-01,0.0,0,0,3,High-Engagement New Travelers
102464,14,17067,17067.0,761,6.0,2.333333333333333,0.0445889728716236,1219.071428571429,2016,7,29,2018-10-01,2.0,0,0,1,Growing Customers
102615,2,4556,4556.0,0,1.0,2.0,0.0,2278.0,2018,9,3,2018-10-01,2.0,0,0,1,Growing Customers
102726,21,25020,25020.0,1426,7.0,3.0,0.0569944044764188,1191.428571428571,2017,8,16,2018-12-01,0.0,0,0,1,Growing Customers
102730,27,41890,41890.0,0,9.0,3.0,0.0,1551.4814814814815,2017,12,12,2018-12-01,0.0,0,0,1,Growing Customers
102740,5,8927,8927.0,0,2.0,2.5,0.0,1785.4,2018,6,6,2018-12-01,0.0,0,0,1,Growing Customers
102788,84,135657,203485.5,0,8.0,10.5,0.0,1614.9642857142858,2018,3,9,2018-12-01,0.0,0,0,3,High-Engagement New Travelers
102851,39,53975,53975.0,1247,10.0,3.9,0.0231032885595182,1383.974358974359,2014,8,52,2018-11-01,1.0,0,0,0,Loyal Frequent Travelers
102877,45,75358,75358.0,908,10.0,4.5,0.0120491520475596,1674.6222222222225,2014,7,53,2018-09-01,3.0,0,0,0,Loyal Frequent Travelers
102982,29,34835,34835.0,0,9.0,3.2222222222222223,0.0,1201.2068965517242,2016,11,25,2018-12-01,0.0,0,0,1,Growing Customers
103043,43,66356,66356.0,449,12.0,3.583333333333333,0.0067665320393031,1543.1627906976744,2018,12,0,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
103151,31,52486,52486.0,912,12.0,2.583333333333333,0.017376062188012,1693.0967741935483,2013,5,67,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
103217,36,56399,56399.0,0,8.0,4.5,0.0,1566.638888888889,2013,10,62,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
103304,37,62563,62563.0,947,10.0,3.7,0.0151367421638987,1690.891891891892,2013,10,62,2018-11-01,1.0,0,0,0,Loyal Frequent Travelers
103340,44,62122,62122.0,0,9.0,4.888888888888889,0.0,1411.8636363636365,2017,3,21,2018-10-01,2.0,0,0,0,Loyal Frequent Travelers
103352,0,0,0.0,0,,,0.0,0.0,2014,11,49,,,1,0,2,Inactive Members
103359,53,82249,82249.0,564,12.0,4.416666666666667,0.0068572262276745,1551.867924528302,2016,3,33,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
103362,3,4485,4485.0,0,1.0,3.0,0.0,1495.0,2018,10,2,2018-11-01,1.0,0,0,1,Growing Customers
103383,0,0,0.0,0,,,0.0,0.0,2015,6,42,,,1,0,2,Inactive Members
103436,49,86455,86455.0,902,10.0,4.9,0.0104331733271644,1764.3877551020407,2013,5,67,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
103490,45,74308,74308.0,0,10.0,4.5,0.0,1651.2888888888888,2013,7,65,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
103502,18,30244,30244.0,344,7.0,2.571428571428572,0.0113741568575585,1680.2222222222222,2017,5,19,2018-12-01,0.0,0,0,1,Growing Customers
103536,59,80954,80954.0,539,12.0,4.916666666666667,0.006658102132075,1372.1016949152545,2012,10,74,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
103699,24,36719,36719.0,0,8.0,3.0,0.0,1529.9583333333333,2018,1,11,2018-12-01,0.0,0,0,1,Growing Customers
103731,33,53860,53860.0,489,9.0,3.6666666666666665,0.0090790939472707,1632.121212121212,2016,1,35,2018-11-01,1.0,0,0,0,Loyal Frequent Travelers
103758,18,27295,27295.0,0,5.0,3.6,0.0,1516.388888888889,2018,6,6,2018-12-01,0.0,0,0,1,Growing Customers
103823,42,57809,57809.0,1014,10.0,4.2,0.0175405213721046,1376.404761904762,2014,10,50,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
103860,40,65428,65428.0,1794,11.0,3.636363636363636,0.0274194534450082,1635.7,2014,5,55,2018-10-01,2.0,0,0,0,Loyal Frequent Travelers
103862,37,69191,69191.0,2686,9.0,4.111111111111111,0.0388200777557774,1870.027027027027,2013,7,65,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
103916,36,54436,54436.0,892,10.0,3.6,0.0163862150047762,1512.111111111111,2014,3,57,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
103969,33,46744,46744.0,1131,9.0,3.6666666666666665,0.0241956186890296,1416.4848484848485,2015,4,44,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
103970,45,56234,56234.0,0,12.0,3.75,0.0,1249.6444444444444,2015,10,38,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
103975,15,18061,18061.0,1102,4.0,3.75,0.0610154476496318,1204.0666666666666,2018,8,4,2018-12-01,0.0,0,0,1,Growing Customers
103985,4,6269,6269.0,0,3.0,1.3333333333333333,0.0,1567.25,2018,9,3,2018-12-01,0.0,0,0,1,Growing Customers
104103,32,40470,40470.0,742,10.0,3.2,0.0183345688164072,1264.6875,2016,5,31,2018-08-01,4.0,0,0,0,Loyal Frequent Travelers
104267,38,61606,92409.0,0,5.0,7.6,0.0,1621.2105263157894,2018,3,9,2018-12-01,0.0,0,0,3,High-Engagement New Travelers
104353,42,73980,73980.0,526,12.0,3.5,0.0071100297377669,1761.428571428571,2014,1,59,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
104431,43,77644,77644.0,1771,10.0,4.3,0.0228092318788315,1805.6744186046512,2014,11,49,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
104541,34,40283,40283.0,1472,12.0,2.833333333333333,0.0365414691060745,1184.7941176470588,2013,3,69,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
104586,40,65640,65640.0,473,9.0,4.444444444444445,0.007205971968312,1641.0,2016,12,24,2018-11-01,1.0,0,0,0,Loyal Frequent Travelers
104673,48,64770,64770.0,546,10.0,4.8,0.0084298286243631,1349.375,2012,10,74,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
104732,37,54081,54081.0,403,9.0,4.111111111111111,0.0074517852850354,1461.6486486486488,2016,1,35,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
104739,0,0,0.0,0,,,0.0,0.0,2013,11,61,,,1,0,2,Inactive Members
104849,35,53641,53641.0,363,10.0,3.5,0.0067672116478067,1532.6,2014,3,57,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
104960,32,48555,48555.0,589,8.0,4.0,0.0121305735763567,1517.34375,2012,6,78,2018-10-01,2.0,0,0,0,Loyal Frequent Travelers
105063,27,40695,61042.5,0,4.0,6.75,0.0,1507.2222222222222,2018,3,9,2018-11-01,1.0,0,0,1,Growing Customers
105073,52,43874,65811.0,0,7.0,7.428571428571429,0.0,843.7307692307693,2018,3,9,2018-12-01,0.0,0,0,3,High-Engagement New Travelers
105074,46,66078,66078.0,1567,11.0,4.181818181818182,0.0237143981355367,1436.4782608695652,2014,10,50,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
105145,0,0,0.0,0,,,0.0,0.0,2012,7,77,,,0,0,2,Inactive Members
105193,3,6621,6621.0,0,1.0,3.0,0.0,2207.0,2018,6,6,2018-10-01,2.0,0,0,1,Growing Customers
105214,35,52473,52473.0,1847,9.0,3.888888888888889,0.0351990547519676,1499.2285714285715,2013,8,64,2018-11-01,1.0,0,0,0,Loyal Frequent Travelers
105251,10,20733,20733.0,0,3.0,3.333333333333333,0.0,2073.3,2014,10,50,2017-06-01,18.0,1,1,1,Growing Customers
105335,36,62882,62882.0,2193,10.0,3.6,0.0348748449476797,1746.7222222222222,2014,10,50,2018-11-01,1.0,0,0,0,Loyal Frequent Travelers
105352,0,0,0.0,0,,,0.0,0.0,2014,1,59,,,1,0,2,Inactive Members
105552,30,58554,58554.0,819,9.0,3.333333333333333,0.0139870888410697,1951.8,2015,11,37,2018-10-01,2.0,0,0,0,Loyal Frequent Travelers
105688,45,71537,71537.0,1004,12.0,3.75,0.0140346953324852,1589.7111111111112,2014,6,54,2018-11-01,1.0,0,0,0,Loyal Frequent Travelers
105700,0,0,0.0,0,,,0.0,0.0,2013,8,64,,,1,0,2,Inactive Members
105712,31,46412,46412.0,1168,9.0,3.4444444444444446,0.025165905369301,1497.1612903225807,2015,8,40,2018-08-01,4.0,0,0,0,Loyal Frequent Travelers
105789,38,68173,68173.0,687,10.0,3.8,0.0100773033312308,1794.0263157894738,2012,6,78,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
105835,35,41790,62685.0,0,6.0,5.833333333333333,0.0,1194.0,2018,4,8,2018-12-01,0.0,0,0,1,Growing Customers
105841,73,105928,158892.0,522,8.0,9.125,0.0032852503587342,1451.0684931506848,2018,3,9,2018-12-01,0.0,0,0,3,High-Engagement New Travelers
105921,49,70250,70250.0,1753,10.0,4.9,0.0249537366548042,1433.6734693877552,2012,9,75,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
105932,30,55256,55256.0,765,10.0,3.0,0.0138446503547126,1841.8666666666663,2016,7,29,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
105992,42,61310,61310.0,1647,12.0,3.5,0.0268634806719947,1459.7619047619048,2016,12,24,2018-11-01,1.0,0,0,0,Loyal Frequent Travelers
106001,76,119565,119565.0,2698,12.0,6.333333333333333,0.0225651319366035,1573.2236842105262,2013,1,71,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
106037,51,68781,68781.0,0,12.0,4.25,0.0,1348.6470588235295,2013,3,69,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
106038,32,44279,44279.0,1377,11.0,2.909090909090909,0.0310982632850787,1383.71875,2016,9,27,2018-11-01,1.0,0,0,0,Loyal Frequent Travelers
106046,48,98729,148093.5,943,7.0,6.857142857142857,0.006367598848025,2056.8541666666665,2018,4,8,2018-12-01,0.0,0,0,3,High-Engagement New Travelers
106048,3,2103,2103.0,0,1.0,3.0,0.0,701.0,2018,11,1,2018-12-01,0.0,0,0,1,Growing Customers
106218,38,53572,53572.0,1209,10.0,3.8,0.0225677592772343,1409.7894736842106,2014,1,59,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
106397,25,35660,35660.0,450,9.0,2.7777777777777777,0.0126191811553561,1426.4,2012,5,79,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
106444,14,19680,19680.0,1590,5.0,2.8,0.0807926829268292,1405.7142857142858,2017,12,12,2018-12-01,0.0,0,0,1,Growing Customers
106477,23,29743,29743.0,0,9.0,2.555555555555556,0.0,1293.1739130434785,2014,2,58,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
106509,10,13811,13811.0,0,2.0,5.0,0.0,1381.1,2017,4,20,2018-10-01,2.0,1,0,1,Growing Customers
106589,0,0,0.0,0,,,0.0,0.0,2013,8,64,,,1,0,2,Inactive Members
106592,47,76347,76347.0,1003,11.0,4.2727272727272725,0.0131373858828768,1624.404255319149,2016,6,30,2018-11-01,1.0,0,0,0,Loyal Frequent Travelers
106616,6,9406,9406.0,0,3.0,2.0,0.0,1567.6666666666667,2018,7,5,2018-11-01,1.0,0,0,1,Growing Customers
106623,4,2092,2092.0,0,2.0,2.0,0.0,523.0,2018,9,3,2018-12-01,0.0,0,0,2,Inactive Members
106637,32,48721,48721.0,1770,11.0,2.909090909090909,0.0363293035857227,1522.53125,2014,4,56,2018-10-01,2.0,0,0,0,Loyal Frequent Travelers
106689,23,34355,34355.0,1690,8.0,2.875,0.0491922573133459,1493.695652173913,2017,6,18,2018-11-01,1.0,0,0,1,Growing Customers
106754,31,33368,33368.0,1167,8.0,3.875,0.0349736274274754,1076.3870967741937,2012,7,77,2018-10-01,2.0,0,0,0,Loyal Frequent Travelers
106757,35,53926,53926.0,0,8.0,4.375,0.0,1540.7428571428572,2015,6,42,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
106776,43,68400,68400.0,1109,10.0,4.3,0.0162134502923976,1590.6976744186047,2012,12,72,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
106838,39,71555,71555.0,0,10.0,3.9,0.0,1834.7435897435896,2016,10,26,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
106839,45,64569,64569.0,662,11.0,4.090909090909091,0.0102525979959423,1434.8666666666666,2014,7,53,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
106936,45,71149,71149.0,948,11.0,4.090909090909091,0.0133241507259413,1581.088888888889,2012,11,73,2018-11-01,1.0,0,0,0,Loyal Frequent Travelers
106946,50,78216,78216.0,2449,12.0,4.166666666666667,0.0313107292625549,1564.32,2016,3,33,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
106964,4,5889,5889.0,512,2.0,2.0,0.086941755815928,1472.25,2018,8,4,2018-12-01,0.0,0,0,1,Growing Customers
106978,46,70762,70762.0,386,10.0,4.6,0.0054549051750939,1538.304347826087,2012,12,72,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
106979,38,66576,66576.0,1530,11.0,3.4545454545454546,0.0229812545061283,1752.0,2012,6,78,2018-10-01,2.0,0,0,0,Loyal Frequent Travelers
107037,31,37882,37882.0,669,9.0,3.4444444444444446,0.0176601024233145,1222.0,2017,5,19,2018-11-01,1.0,0,0,1,Growing Customers
107067,35,46235,46235.0,1531,10.0,3.5,0.0331134421974694,1321.0,2016,3,33,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
107119,47,73636,73636.0,995,11.0,4.2727272727272725,0.0135124124069748,1566.723404255319,2013,4,68,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
107141,33,44019,44019.0,1950,8.0,4.125,0.0442990526817965,1333.909090909091,2013,8,64,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
107203,47,65065,65065.0,1110,11.0,4.2727272727272725,0.0170598632137093,1384.3617021276596,2016,3,33,2018-10-01,2.0,0,0,0,Loyal Frequent Travelers
107212,39,58002,58002.0,2586,10.0,3.9,0.0445846694941553,1487.2307692307693,2013,2,70,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
107296,21,30104,30104.0,625,10.0,2.1,0.0207613606165293,1433.5238095238096,2017,7,17,2018-11-01,1.0,0,0,1,Growing Customers
107385,22,27287,27287.0,1331,7.0,3.142857142857143,0.0487778062813794,1240.3181818181818,2017,11,13,2018-12-01,0.0,0,0,1,Growing Customers
107420,18,24132,24132.0,680,7.0,2.571428571428572,0.0281783523951599,1340.6666666666667,2017,12,12,2018-08-01,4.0,1,0,1,Growing Customers
107461,18,21476,21476.0,551,6.0,3.0,0.0256565468429875,1193.111111111111,2015,2,46,2018-12-01,0.0,0,0,1,Growing Customers
107466,24,36441,36441.0,491,11.0,2.1818181818181817,0.0134738344172772,1518.375,2017,1,23,2018-12-01,0.0,0,0,1,Growing Customers
107487,18,33663,33663.0,379,7.0,2.571428571428572,0.0112586519323886,1870.1666666666667,2017,4,20,2018-12-01,0.0,0,0,1,Growing Customers
107519,61,95293,142939.5,501,7.0,8.714285714285714,0.0035049793793877,1562.1803278688524,2018,2,10,2018-10-01,2.0,1,0,3,High-Engagement New Travelers
107571,31,38467,38467.0,1175,9.0,3.4444444444444446,0.0305456625159227,1240.8709677419354,2017,3,21,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
107649,45,74576,74576.0,1296,11.0,4.090909090909091,0.0173782450118,1657.2444444444443,2012,5,79,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
107719,30,36129,36129.0,1573,12.0,2.5,0.0435384317307426,1204.3,2012,7,77,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
107730,37,64714,64714.0,1132,12.0,3.083333333333333,0.0174923509596068,1749.027027027027,2017,12,12,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
107835,5,7565,7565.0,424,2.0,2.5,0.0560475875743555,1513.0,2018,9,3,2018-12-01,0.0,0,0,1,Growing Customers
107902,32,53948,53948.0,528,9.0,3.555555555555556,0.0097872024912879,1685.875,2015,4,44,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
107993,32,45033,45033.0,0,10.0,3.2,0.0,1407.28125,2016,6,30,2018-11-01,1.0,0,0,0,Loyal Frequent Travelers
108264,68,103366,103366.0,2676,12.0,5.666666666666667,0.0258885900586266,1520.0882352941176,2013,1,71,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
108346,10,17116,17116.0,0,5.0,2.0,0.0,1711.6,2017,12,12,2018-08-01,4.0,1,0,1,Growing Customers
108367,14,19611,19611.0,0,6.0,2.333333333333333,0.0,1400.7857142857142,2017,5,19,2018-01-01,11.0,1,1,1,Growing Customers
108381,40,50725,50725.0,1618,10.0,4.0,0.0318974864465253,1268.125,2014,11,49,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
108430,47,87628,87628.0,342,12.0,3.9166666666666665,0.0039028620988725,1864.4255319148936,2013,7,65,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
108440,35,42687,42687.0,864,10.0,3.5,0.0202403542061986,1219.6285714285714,2013,5,67,2018-11-01,1.0,0,0,0,Loyal Frequent Travelers
108462,37,62792,62792.0,1945,10.0,3.7,0.0309752834756019,1697.081081081081,2016,6,30,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
108481,0,0,0.0,0,,,0.0,0.0,2018,11,1,,,0,0,2,Inactive Members
108528,51,78024,78024.0,595,10.0,5.1,0.0076258587101404,1529.8823529411766,2014,5,55,2018-11-01,1.0,0,0,0,Loyal Frequent Travelers
108625,46,69314,69314.0,932,11.0,4.181818181818182,0.013446057073607,1506.8260869565215,2016,4,32,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
108666,26,40864,40864.0,2005,9.0,2.888888888888889,0.0490651918559122,1571.6923076923076,2015,10,38,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
108857,10,7254,7254.0,986,4.0,2.5,0.1359250068927488,725.4,2017,8,16,2018-03-01,9.0,1,1,1,Growing Customers
108896,9,11764,11764.0,0,4.0,2.25,0.0,1307.111111111111,2017,6,18,2017-12-01,12.0,1,1,1,Growing Customers
108907,37,56340,56340.0,1570,10.0,3.7,0.0278665246716364,1522.7027027027027,2016,8,28,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
109022,27,35598,35598.0,453,8.0,3.375,0.0127254340131468,1318.4444444444443,2013,3,69,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
109023,35,64655,64655.0,1648,10.0,3.5,0.0254891346376923,1847.2857142857144,2015,7,41,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
109029,2,3944,3944.0,0,1.0,2.0,0.0,1972.0,2018,10,2,2018-11-01,1.0,0,0,1,Growing Customers
109203,41,62207,62207.0,429,10.0,4.1,0.0068963299950166,1517.2439024390244,2014,10,50,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
109399,33,58851,58851.0,0,8.0,4.125,0.0,1783.3636363636365,2018,12,0,2018-09-01,3.0,0,0,1,Growing Customers
109478,44,85316,85316.0,574,11.0,4.0,0.0067279291106005,1939.0,2014,7,53,2018-11-01,1.0,0,0,0,Loyal Frequent Travelers
109495,44,75183,75183.0,454,12.0,3.6666666666666665,0.0060385991514039,1708.7045454545455,2014,1,59,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
109517,34,45001,45001.0,986,10.0,3.4,0.0219106242083509,1323.5588235294117,2015,5,43,2018-09-01,3.0,0,0,0,Loyal Frequent Travelers
109552,22,26865,26865.0,0,8.0,2.75,0.0,1221.1363636363635,2015,12,36,2018-11-01,1.0,0,0,1,Growing Customers
109612,17,30477,30477.0,667,7.0,2.4285714285714284,0.0218853561702267,1792.764705882353,2017,9,15,2018-07-01,5.0,1,0,1,Growing Customers
109660,42,69953,69953.0,1284,11.0,3.8181818181818175,0.0183551813360399,1665.547619047619,2016,2,34,2018-12-01,0.0,0,0,0,Loyal Frequent Travelers
